game_id,pitcher_id,game_date,side,feature,old_value,new_value,absolute_difference,history_game_ids,history_dates,history_definition,temporal_evidence,reason
"822713","674841","2026-07-07","home","pitchesLastStart","74","88","14","824824|822968|822724","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","pitchesLast3Starts","230","214","16","824824|822968|822724","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","daysSinceLastStart","6","11","5","824824|822968|822724","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last3AppearancesKs1","5","6","1","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last3AppearancesKs2","6","5","1","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last3AppearancesKs3","5","6","1","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last3AppearancesBf1","20","17","3","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last3AppearancesBf2","16","20","4","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last3AppearancesBf3","18","16","2","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822713","674841","2026-07-07","home","last5AppearancesPitchCountAvg","77","75.6","1.4000000000000057","824740|824824|822968","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last3StartsKs2","9","6","3","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last3StartsKs3","6","5","1","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last3StartsIp2","7.3","6","1.2999999999999998","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last3StartsBf1","26","27","1","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last3StartsBf2","27","26","1","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last3StartsBf3","26","24","2","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last5StartsBfAvg","24","23","1","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","last5StartsPitchCountAvg","96","91.4","4.599999999999994","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","pitchesLastStart","112","105","7","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","pitchesLast3Starts","317","305","12","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822714","656492","2026-07-03","home","daysSinceLastStart","6","11","5","822720|822723|823215","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","pitchesLastStart","16","58","42","822719","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","pitchesLast3Starts","74","58","16","822719","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","daysSinceLastStart","3","10","7","822719","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last3AppearancesKs1","3","1","2","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last3AppearancesIp1","3.3","1","2.3","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last3AppearancesBf1","12","5","7","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last5AppearancesKsAvg","3","1.5","1.5","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last5AppearancesKsStd","0","1.118033988749895","1.118033988749895","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last5AppearancesIpAvg","3.3","1.8333333333333335","1.4666666666666663","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last5AppearancesBfAvg","12","7.25","4.75","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822716","687223","2026-07-04","home","last5AppearancesPitchCountAvg","58","29.25","28.75","824740|822719|831792","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3StartsKs2","5","2","3","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3StartsKs3","2","6","4","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3StartsBf2","20","22","2","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3StartsBf3","22","23","1","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last5StartsBfAvg","21.2","22.6","1.4000000000000021","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","pitchesLast3Starts","237","245","8","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3AppearancesKs2","5","2","3","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3AppearancesKs3","2","6","4","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3AppearancesBf2","20","22","2","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last3AppearancesBf3","22","23","1","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822717","676917","2026-06-25","home","last5AppearancesBfAvg","21.2","22.6","1.4000000000000021","822967|825074|822730","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last3StartsKs2","0","1","1","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last3StartsKs3","1","0","1","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last3StartsIp3","1","2","1","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last3StartsBf2","5","3","2","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last3StartsBf3","3","7","4","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822718","676571","2026-06-23","home","last5StartsPitchCountAvg","23","25.8","2.8000000000000007","822966|824432|824437","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
