game_id,game_date,snapshot_home_pitcher_name,linescore_defense_pitcher_id,independent_pitcher_id,independent_pitcher_name,home_team,snapshot_captured_at,scheduled_start,snapshot_status,minutes_before_scheduled_start,validation_result,reason,identity_id_agreement,identity_name_agreement,source_type,endpoint,source_queried_at,source_has_pregame_as_of_timestamp
"822954","2026-07-09","Drew Rasmussen","656876","656876","Drew Rasmussen","Tampa Bay Rays","2026-07-09T17:04:56.969Z","2026-07-09T17:10:00.000Z","Warmup","5.050517","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-09&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822955","2026-07-10","Nick Martinez","607259","607259","Nick Martinez","Tampa Bay Rays","2026-07-10T20:34:24.297Z","2026-07-10T23:10:00.000Z","Pre-Game","155.59505","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-10&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822956","2026-07-07","Ian Seymour","693855","693855","Ian Seymour","Tampa Bay Rays","2026-07-07T21:55:13.893Z","2026-07-07T22:40:00.000Z","Pre-Game","44.76845","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-07&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822957","2026-07-08","Shane McClanahan","663556","663556","Shane McClanahan","Tampa Bay Rays","2026-07-08T20:22:10.363Z","2026-07-08T22:40:00.000Z","Pre-Game","137.827283","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-08&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822958","2026-07-06","Griffin Jax","643377","643377","Griffin Jax","Tampa Bay Rays","2026-07-06T22:27:34.399Z","2026-07-06T22:40:00.000Z","Warmup","12.426683","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-06&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822959","2026-06-28","Drew Rasmussen","656876","656876","Drew Rasmussen","Tampa Bay Rays","2026-06-28T17:25:02.982Z","2026-06-28T17:40:00.000Z","Warmup","14.9503","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-28&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822960","2026-06-27","Cole Sulser","642121","642121","Cole Sulser","Tampa Bay Rays","2026-06-27T22:09:00.156Z","2026-06-27T22:10:00.000Z","Warmup","0.9974","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-27&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822961","2026-06-25","Casey Legumina","668984","668984","Casey Legumina","Tampa Bay Rays","2026-06-25T16:04:39.366Z","2026-06-25T16:10:00.000Z","Warmup","5.3439","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-25&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822962","2026-06-26","Nick Martinez","607259","607259","Nick Martinez","Tampa Bay Rays","2026-06-26T23:01:40.287Z","2026-06-26T23:10:00.000Z","Warmup","8.32855","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-26&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822963","2026-06-23","Shane McClanahan","663556","663556","Shane McClanahan","Tampa Bay Rays","2026-06-23T21:42:00.959Z","2026-06-23T22:40:00.000Z","Pre-Game","57.984017","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-23&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822965","2026-06-24","Griffin Jax","643377","643377","Griffin Jax","Tampa Bay Rays","2026-06-24T21:17:17.293Z","2026-06-24T22:40:00.000Z","Pre-Game","82.711783","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-24&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"823029","2026-07-12","Dustin May","669160","669160","Dustin May","St. Louis Cardinals","2026-07-12T16:56:01.163Z","2026-07-12T18:15:00.000Z","Pre-Game","78.980617","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-12&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"823030","2026-07-11","Matthew Liberatore","669461","669461","Matthew Liberatore","St. Louis Cardinals","2026-07-11T21:45:44.902Z","2026-07-11T23:15:00.000Z","Pre-Game","89.251633","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-11&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
