game_id,pitcher_id,pitcher_name,game_date,snapshot_captured_at,team,opponent,side,match_status,pregame_identity_source,pitcher_k_pct,pitcher_so_rate,pitcher_swstr_pct,pitcher_csw_pct,pitcher_bb_pct,pitcher_fip,pitcher_xfip,pitcher_siera,pitcher_xera,pitcher_last5_ks_avg,pitcher_last5_ip_avg,pitcher_last5_bf_avg,pitcher_last5_pitch_count_avg,projected_pitches,projected_innings,pitches_last_start,pitches_last_3_starts,days_since_last_start,opponent_lineup_k_pct,opponent_offense_ops,opponent_offense_woba,opponent_offense_xwoba,park_factor_k,weather_temp,weather_wind_speed,projected_strikeouts,actual_k
"823119","682243","Bryce Miller","2026-07-02","2026-07-02T21:52:41.145Z","Seattle Mariners","Los Angeles Angels","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","33.1","33.1","16.8","29.6","3.1","3.16","2.18","1.69","2.28","8","5.9","20.2","82","80","5.2","90","247","7","24.3","0.714","0.314","0.306","","16.6","10.3","6.87","8"
"823120","622491","Luis Castillo","2026-07-03","2026-07-03T23:50:39.403Z","Seattle Mariners","Toronto Blue Jays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","21.5","21.5","13","26.4","7.7","4.03","3.67","3.89","4.6","5","5.4","22.2","90","87","5.1","91","238","7","19.8","0.7","0.308","0.279","","","","5.1","4"
"823121","669923","George Kirby","2026-06-29","2026-06-30T01:10:30.214Z","Seattle Mariners","Los Angeles Angels","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.9","20.9","10.8","26.5","5.7","3.45","3.26","3.76","3.76","5.8","5.5","24.8","93","96","5.2","91","287","6","24.4","0.716","0.315","0.306","","16.4","5.6","5.83","7"
"823180","657277","Logan Webb","2026-08-26","2026-08-26T17:47:36.942Z","San Francisco Giants","Cincinnati Reds","home","MATCHED","PREGAME_EXPLICIT_ID","19.4","19.4","9.8","27.8","6.1","3.45","3.36","4.19","3.83","4.6","5.7","23","88","89","5.2","70","250","5","25.2092936802974","0.694","0.306","0.303","97","23.2","5.4","4.83","6"
"823180","666157","Nick Lodolo","2026-08-26","2026-08-26T17:47:36.942Z","Cincinnati Reds","San Francisco Giants","away","MATCHED","PREGAME_EXPLICIT_ID","17.5","17.5","10.1","26.8","9.2","5.52","4.34","4.79","6.49","3.4","4.7","21.4","82","84","4.2","91","234","5","29.796842105263167","0.711","0.31","0.281","97","23.2","5.4","4.6","5"
"823192","657277","Logan Webb","2026-07-29","2026-07-29T18:55:53.116Z","San Francisco Giants","Milwaukee Brewers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","19.2","19.2","9.9","27.3","6.3","3.59","3.38","4.24","4.04","3.8","5.9","25.2","95","97","6","99","305","5","23.1","0.738","0.325","0.338","96","21.4","8.3","4.96","4"
"823199","686790","Trevor McDonald","2026-07-12","2026-07-12T20:00:20.433Z","San Francisco Giants","Colorado Rockies","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","18.8","18.8","9.5","28.2","7.5","4.08","3.67","4.75","4.04","2.6","4.1","20.2","80","76","4","58","238","5","19.3","0.748","0.328","0.32","97","22.3","19.4","3.77","4"
"823202","657277","Logan Webb","2026-07-08","2026-07-08T18:38:50.664Z","San Francisco Giants","Toronto Blue Jays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.4","20.4","9.7","27.3","6.3","3.4","3.22","4.1","4","5.4","6.8","26.2","95","98","7","76","271","5","20.1","0.686","0.302","0.282","","16.5","16.2","5.5","2"
"823203","686790","Trevor McDonald","2026-07-07","2026-07-08T01:39:44.224Z","San Francisco Giants","Toronto Blue Jays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.2","20.2","10","28.5","7.7","3.83","3.57","4.63","3.88","3.8","4.6","20.8","86","82","4.1","90","249","6","30.5","0.685","0.301","0.256","","15","25.9","4.77","0"
"823204","592662","Robbie Ray","2026-06-28","2026-06-28T19:53:42.376Z","San Francisco Giants","Atlanta Braves","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","21.9","21.9","12.1","25.3","11.5","4.89","4.23","4.15","4.74","4.4","5.3","22.8","96","93","","102","289","5","22.3","0.723","0.316","0.311","","22.3","19.4","","2"
