game_id,game_date,scheduled_time_et,snapshot_captured_at,snapshot_classification,home_team,away_team,venue,game_type,game_type_source,home_pregame_pitcher_id,home_pregame_pitcher_name,home_final_pitcher_id,home_final_pitcher_name,home_actual_k,home_match_status,home_in_official_dataset,away_pregame_pitcher_id,away_pregame_pitcher_name,away_final_pitcher_id,away_final_pitcher_name,away_actual_k,away_match_status,away_in_official_dataset,any_defendible_observation,defendible_observation_count
"824099","2026-06-14","2:10 PM ET","2026-06-14T18:08:52.997Z","A","Kansas City Royals","Houston Astros","Kauffman Stadium","R","MLB_STATS_API_SCHEDULE","","Stephen Kolek","","Stephen Kolek","","PREGAME_ID_MISSING","false","","Spencer Arrighetti","","Spencer Arrighetti","","PREGAME_ID_MISSING","false","false","0"
"824506","2026-06-14","1:40 PM ET","2026-06-14T17:29:15.605Z","A","Cincinnati Reds","Arizona Diamondbacks","Great American Ball Park","R","MLB_STATS_API_SCHEDULE","","Andrew Abbott","","Andrew Abbott","","PREGAME_ID_MISSING","false","","Zac Gallen","","Zac Gallen","","PREGAME_ID_MISSING","false","false","0"
"824586","2026-06-14","2:10 PM ET","2026-06-14T18:08:56.459Z","A","Chicago White Sox","Los Angeles Dodgers","Rate Field","R","MLB_STATS_API_SCHEDULE","","Bryan Hudson","","Bryan Hudson","","PREGAME_ID_MISSING","false","","Emmet Sheehan","","Emmet Sheehan","","PREGAME_ID_MISSING","false","false","0"
"824751","2026-06-14","7:20 PM ET","2026-06-14T19:13:34.763Z","A","Boston Red Sox","Texas Rangers","Fenway Park","R","MLB_STATS_API_SCHEDULE","","Connelly Early","","Connelly Early","","PREGAME_ID_MISSING","false","","Nathan Eovaldi","","Nathan Eovaldi","","PREGAME_ID_MISSING","false","false","0"
"824823","2026-06-14","1:35 PM ET","2026-06-14T17:29:05.514Z","A","Baltimore Orioles","San Diego Padres","Oriole Park at Camden Yards","R","MLB_STATS_API_SCHEDULE","","Trevor Rogers","","Trevor Rogers","","PREGAME_ID_MISSING","false","","Walker Buehler","","Walker Buehler","","PREGAME_ID_MISSING","false","false","0"
"824994","2026-06-14","3:05 PM ET","2026-06-14T18:08:59.291Z","A","Athletics","Colorado Rockies","Las Vegas Ballpark","R","MLB_STATS_API_SCHEDULE","","Jeffrey Springs","","Jeffrey Springs","","PREGAME_ID_MISSING","false","","Tomoyuki Sugano","","Tomoyuki Sugano","","PREGAME_ID_MISSING","false","false","0"
"822724","2026-06-15","6:45 PM ET","2026-06-15T22:24:06.844Z","A","Washington Nationals","Kansas City Royals","Nationals Park","R","MLB_STATS_API_SCHEDULE","","Andrew Alvarez","674841","Andrew Alvarez","","PREGAME_ID_MISSING","false","","Mitch Spence","687765","Mitch Spence","","PREGAME_ID_MISSING","false","false","0"
"822887","2026-06-15","8:05 PM ET","2026-06-16T00:01:18.037Z","A","Texas Rangers","Minnesota Twins","Globe Life Field","R","MLB_STATS_API_SCHEDULE","","MacKenzie Gore","669022","MacKenzie Gore","","PREGAME_ID_MISSING","false","","Mike Paredes","702474","Mike Paredes","","PREGAME_ID_MISSING","false","false","0"
"823046","2026-06-15","7:45 PM ET","2026-06-15T22:24:13.045Z","A","St. Louis Cardinals","San Diego Padres","Busch Stadium","R","MLB_STATS_API_SCHEDULE","","Dustin May","669160","Dustin May","","PREGAME_ID_MISSING","false","","Wandy Peralta","593974","Wandy Peralta","","PREGAME_ID_MISSING","false","false","0"
"823452","2026-06-15","6:40 PM ET","2026-06-15T22:24:03.958Z","A","Philadelphia Phillies","Miami Marlins","Citizens Bank Park","R","MLB_STATS_API_SCHEDULE","","Zack Wheeler","554430","Zack Wheeler","","PREGAME_ID_MISSING","false","","Ryan Gusto","687473","Ryan Gusto","","PREGAME_ID_MISSING","false","false","0"
"823938","2026-06-15","10:10 PM ET","2026-06-16T01:27:14.039Z","A","Los Angeles Dodgers","Tampa Bay Rays","UNIQLO Field at Dodger Stadium","R","MLB_STATS_API_SCHEDULE","","Eric Lauer","641778","Eric Lauer","","PREGAME_ID_MISSING","false","","Nick Martinez","607259","Nick Martinez","","PREGAME_ID_MISSING","false","false","0"
