game_id,game_date,scheduled_time_et,home_team,away_team,venue,game_status,is_final,game_type,game_type_source,has_any_pregame_snapshot,has_training_pregame_snapshot,has_current_pregame_snapshot,home_pitcher_id,home_pitcher_name,home_actual_k,home_ip,home_bf,home_pitches,home_in_official_training_dataset,away_pitcher_id,away_pitcher_name,away_actual_k,away_ip,away_bf,away_pitches,away_in_official_training_dataset,defendible_training_observation_count,source_record_count
"822875","2026-07-11","7:05 PM ET","Texas Rangers","Houston Astros","Globe Life Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","677958","Kumar Rocker","6","5.2","28","91","true","663567","Peter Lambert","7","6.0","23","107","false","1","1"
"822953","2026-07-11","4:10 PM ET","Tampa Bay Rays","Seattle Mariners","Tropicana Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","643377","Griffin Jax","3","5.0","21","69","false","669302","Logan Gilbert","5","6.2","30","96","false","0","1"
"823030","2026-07-11","7:15 PM ET","St. Louis Cardinals","Atlanta Braves","Busch Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669461","Matthew Liberatore","6","6.0","22","71","true","625643","Reynaldo López","3","5.0","21","85","false","1","1"
"823198","2026-07-11","4:05 PM ET","San Francisco Giants","Colorado Rockies","Oracle Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","641816","Tyler Mahle","4","7.0","29","104","false","607536","Kyle Freeland","9","6.0","24","92","false","0","1"
"823276","2026-07-11","8:40 PM ET","San Diego Padres","Toronto Blue Jays","Petco Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","621111","Walker Buehler","1","2.0","13","65","true","702056","Trey Yesavage","1","1.2","13","59","false","1","1"
"823356","2026-07-11","4:05 PM ET","Pittsburgh Pirates","Milwaukee Brewers","PNC Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","696149","Bubba Chandler","6","4.2","21","97","false","675660","Shane Drohan","6","6.1","25","83","false","0","1"
"823357","2026-07-11","12:05 PM ET","Pittsburgh Pirates","Milwaukee Brewers","PNC Park","Postponed","false","R","MLB_STATS_API_SCHEDULE","true","false","true","","Braxton Ashcraft","","","","","false","","Brandon Sproat","","","","","false","0","2"
"823603","2026-07-11","4:10 PM ET","New York Mets","Boston Red Sox","Citi Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","642547","Freddy Peralta","6","4.1","21","92","false","700842","Eduardo Rivera","3","3.2","14","64","false","0","1"
"823682","2026-07-11","2:10 PM ET","Minnesota Twins","Los Angeles Angels","Target Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","657746","Joe Ryan","6","6.0","26","94","true","696270","Ryan Johnson","1","5.0","18","75","false","1","1"
"823844","2026-07-11","4:10 PM ET","Miami Marlins","Cleveland Guardians","loanDepot park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","691587","Eury Pérez","6","6.0","26","99","false","676440","Tanner Bibee","3","6.2","27","94","false","0","1"
