game_id,game_date,snapshot_captured_at,pregame_side,pregame_pitcher_name,pregame_pitcher_id,pregame_identity_source,final_side,final_pitcher_name,final_pitcher_id,final_identity_source,match_status,actual_k,scheduled_start,minutes_before_start,reason
"823842","2026-07-12","2026-07-12T16:56:23.016Z","home","Tyler Phillips","663969","PREGAME_LINESCORE_DEFENSE_ID","home","Tyler Phillips","663969","FINAL_PITCHERS_ID","MATCHED","1","2026-07-12T17:40:00.000Z","43.6164","game_id y pitcher_id coinciden; actual_k final válido"
"823842","2026-07-12","2026-07-12T16:56:23.016Z","away","Joey Cantillo","","","away","Joey Cantillo","676282","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-12T17:40:00.000Z","43.6164","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823843","2026-07-24","2026-07-24T19:49:37.371Z","home","Ryan Gusto","687473","PREGAME_LINESCORE_DEFENSE_ID","home","Ryan Gusto","687473","FINAL_PITCHERS_ID","MATCHED","4","2026-07-24T23:10:00.000Z","200.37715","game_id y pitcher_id coinciden; actual_k final válido"
"823843","2026-07-24","2026-07-24T19:49:37.371Z","away","Germán Márquez","","","away","Germán Márquez","608566","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-24T23:10:00.000Z","200.37715","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823844","2026-07-11","2026-07-11T15:45:08.980Z","home","Eury Pérez","","","home","Eury Pérez","691587","FINAL_BOXSCORE_PLAYER_ID","UNRESOLVED_PREGAME_ID","","2026-07-11T20:10:00.000Z","264.850333","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823844","2026-07-11","2026-07-11T15:45:08.980Z","away","Tanner Bibee","","","away","Tanner Bibee","676440","FINAL_BOXSCORE_PLAYER_ID","UNRESOLVED_PREGAME_ID","","2026-07-11T20:10:00.000Z","264.850333","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823846","2026-07-09","2026-07-09T21:01:56.985Z","home","Janson Junk","676083","PREGAME_LINESCORE_DEFENSE_ID","home","Janson Junk","676083","FINAL_PITCHERS_ID","MATCHED","5","2026-07-09T22:40:00.000Z","98.05025","game_id y pitcher_id coinciden; actual_k final válido"
"823846","2026-07-09","2026-07-09T21:01:56.985Z","away","Bryce Miller","","","away","Bryce Miller","682243","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-09T22:40:00.000Z","98.05025","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823847","2026-07-07","2026-07-07T21:48:32.882Z","home","Max Meyer","676974","PREGAME_LINESCORE_DEFENSE_ID","home","Max Meyer","676974","FINAL_PITCHERS_ID","MATCHED","4","2026-07-07T22:40:00.000Z","51.451967","game_id y pitcher_id coinciden; actual_k final válido"
"823847","2026-07-07","2026-07-07T21:48:32.882Z","away","Bryan Woo","","","away","Bryan Woo","693433","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-07T22:40:00.000Z","51.451967","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823848","2026-07-08","2026-07-08T20:22:54.541Z","home","Tyler Phillips","663969","PREGAME_LINESCORE_DEFENSE_ID","home","Tyler Phillips","663969","FINAL_PITCHERS_ID","MATCHED","3","2026-07-08T22:40:00.000Z","137.090983","game_id y pitcher_id coinciden; actual_k final válido"
"823848","2026-07-08","2026-07-08T20:22:54.541Z","away","George Kirby","","","away","George Kirby","669923","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-08T22:40:00.000Z","137.090983","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823849","2026-06-23","2026-06-23T21:42:19.556Z","home","Sandy Alcantara","645261","PREGAME_LINESCORE_DEFENSE_ID","home","Sandy Alcantara","645261","FINAL_PITCHERS_ID","MATCHED","4","2026-06-23T22:40:00.000Z","57.674067","game_id y pitcher_id coinciden; actual_k final válido"
"823849","2026-06-23","2026-06-23T21:42:19.556Z","away","Cal Quantrill","","","away","Cal Quantrill","615698","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-23T22:40:00.000Z","57.674067","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
