game_id,pitcher_id,game_date,cause,evidence,stored_last3Ks1,reconstructed_last3Ks1
823875,663978,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,1.0,7.0
823875,663978,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,1.0,7.0
823875,666200,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823482,8.0,3.0
823875,666200,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823482,8.0,3.0
823875,666200,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823482,8.0,3.0
823065,669160,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,2.0,5.0
823065,669160,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,2.0,5.0
823065,680736,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,6.0,2.0
823065,680736,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,6.0,2.0
824687,571510,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local appearance at position 4: 831720,4.0,5.0
824687,571510,2026-05-03,J_LAST_APPEARANCE_DEFINITION,selected history record_timestamp >= target scheduled_start | stored matches older local appearance at position 4: 831720,4.0,5.0
824687,571510,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local appearance at position 4: 831720,4.0,5.0
824687,518876,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 831885,1.0,5.0
824687,518876,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 831885,1.0,5.0
824687,518876,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 831885,1.0,5.0
824364,607536,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 6: 831928,4.0,0.0
