scenario,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_value,absolute_difference,relative_difference,exact_match,material_difference,history_count,history_game_ids,target_game_excluded,future_games_excluded,target_stats_used,target_identity_source
B_DATE,824857,657277,2026-04-11,away,last3Ks1,3.0,3.0,0.0,0.0,True,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last3Ks2,5.0,5.0,0.0,0.0,True,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last3Ks3,7.0,7.0,0.0,0.0,True,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last5KsAvg,5.0,4.2,0.7999999999999998,0.15999999999999998,False,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last5KsStd,1.63,1.6,0.029999999999999805,0.018404907975460003,False,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last5IpAvg,6.0,5.1,0.9000000000000004,0.15000000000000005,False,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last5BfAvg,26.3,22.2,4.100000000000001,0.15589353612167306,False,True,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,last5PitchCountAvg,94.0,81.0,13.0,0.13829787234042554,False,True,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,824857,657277,2026-04-11,away,pitchesLast3Starts,282.0,282.0,0.0,0.0,True,False,5,823238|823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last3Ks1,6.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last3Ks2,3.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last3Ks3,5.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last5KsAvg,5.25,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last5KsStd,1.48,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last5IpAvg,6.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,822752,657277,2026-04-17,away,last5BfAvg,26.3,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
