target_game_id,target_date,side,pitcher_id,new_feature,stored_feature,stored_value,reconstructed_value,absolute_error,exact_match,material_difference,competition_status,temporal_evidence
"822708","2026-07-12","home","676917","last5AppearancesBfAvg","last5BfAvg","19.8","20.2","0.3999999999999986","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5AppearancesPitchCountAvg","last5PitchCountAvg","82","83.2","1.2000000000000028","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsKs1","last3Ks1","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsKs2","last3Ks2","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsKs3","last3Ks3","","","","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsIp1","last3Ip1","1","1","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsIp2","last3Ip2","3.3","3.3333333333333335","0.03333333333333366","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsIp3","last3Ip3","","","","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsBf1","last3Bf1","8","8","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsBf2","last3Bf2","12","12","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last3StartsBf3","last3Bf3","","","","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5StartsKsAvg","last5KsAvg","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5StartsKsStd","last5KsStd","0","0","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5StartsIpAvg","last5IpAvg","2.2","2.166666666666667","0.033333333333333215","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5StartsBfAvg","last5BfAvg","10","10","0","true","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","last5StartsPitchCountAvg","last5PitchCountAvg","48","47.5","0.5","false","false","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","pitchesLastStart","pitchesLastStart","16","37","21","false","true","UNKNOWN","DATE_ONLY"
"822709","2026-07-10","home","687223","pitchesLast3Starts","pitchesLast3Starts","69","95","26","false","true","UNKNOWN","DATE_ONLY"
