scenario,definition,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_clean,reconstructed_historical_formula,absolute_error,exact_match,material_difference,target_game_excluded,future_games_excluded,target_actual_k_used,target_boxscore_used
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ip2","3.3","3.3333333333333335","3.3333333333333335","0.03333333333333366","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ip3","","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Bf1","8","8","8","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Bf2","12","12","12","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Bf3","","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last5KsAvg","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last5KsStd","0","0","0","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last5IpAvg","2.2","2.166666666666667","2.2","0.033333333333333215","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last5BfAvg","10","10","10","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last5PitchCountAvg","48","47.5","48","0.5","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","pitchesLast3Starts","69","95","95","26","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","daysSinceLastStart","3","6","6","3","false","true","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ks1","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ks2","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ks3","","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ip1","1","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ip2","3.3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ip3","","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Bf1","8","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Bf2","12","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last3Bf3","","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last5KsAvg","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last5KsStd","0","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last5IpAvg","2.2","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last5BfAvg","10","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","last5PitchCountAvg","48","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","pitchesLast3Starts","69","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822709","687223","2026-07-10","home","daysSinceLastStart","3","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Ks1","3","0","0","3","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Ip1","1","1","1","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Bf1","8","3","3","5","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Ks2","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Ip2","3.3","1","1","2.3","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Bf2","12","8","8","4","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Ks3","","1","1","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Ip3","","1","1","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822709","687223","2026-07-10","home","last3Bf3","","5","5","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Ks1","2","2","2","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Ks2","9","9","9","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Ks3","9","6","6","3","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Ip1","5","5","5","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Ip2","7","7.333333333333333","7.333333333333333","0.33333333333333304","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Ip3","7.3","6","6","1.2999999999999998","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Bf1","20","20","20","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822710","656492","2026-07-08","home","last3Bf2","26","27","27","1","false","true","true","true","false","false"
